[GIN] 2026/05/15 - 12:09:07 | 200 |  10.96ms |             ::1 | GET      "/api/user/history"
[GIN] 2026/05/15 - 12:09:07 | 200 |   5.65ms |             ::1 | GET      "/api/user/history"
[GIN] 2026/05/15 - 12:09:07 | 200 |  11.01ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:07 | 200 |  12.51ms |             ::1 | GET      "/api/user/profile"
[GIN] 2026/05/15 - 12:09:07 | 200 |   7.77ms |             ::1 | GET      "/api/gosip"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/user/notifications"
[GIN] 2026/05/15 - 12:09:07 | 204 |       0s |             ::1 | OPTIONS  "/api/user/notifications"
[GIN] 2026/05/15 - 12:09:07 | 200 |   8.96ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:07 | 200 |   3.31ms |             ::1 | GET      "/api/user/notifications"
[GIN] 2026/05/15 - 12:09:07 | 200 |   2.95ms |             ::1 | GET      "/api/user/notifications"
[GIN] 2026/05/15 - 12:09:07 | 200 |   4.82ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:07 | 200 |   4.71ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:07 | 200 |   2.43ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:10 | 200 |   3.62ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:10 | 200 |   1.77ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:13 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:13 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:13 | 200 |   1.67ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:13 | 200 |   2.19ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:16 | 200 |   1.54ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:16 | 200 |   1.86ms |             ::1 | GET      "/api/notifications/unread"
[GIN] 2026/05/15 - 12:09:19 | 204 |       0s |             ::1 | OPTIONS  "/api/notifications/unread"
